Task,Emotion 1,Emotion 2,Emotion 3
Apply for a job, Motivated, Stress, Calm
Get a haircut, Happy, Excited, Calm
Clean the room, Motivated, Bored, Calm
Plan a vacation, Happy, Excited, Calm
Call a friend, Happy, Calm, Bored
Read a book, Calm, Bored, Happy
Learn a new skill, Motivated, Excited, Calm
Exercise, Motivated, Calm, Frustrated
Practice meditation, Calm, Anxious, Sad
Watch a funny video, Happy, Calm, Bored
Listen to upbeat music, Excited, Happy, Calm
Watch a comedy movie, Happy, Calm, Bored
Exercise, Motivated, Calm, Frustrated
Take a nap, Tiredness, Calm, Bored
Cook a new recipe, Happy, Excited, Calm
Go for a walk, Calm, Happy, Excited
Meditate, Calm, Anxious, Sad
Organize your space, Motivated, Happy, Calm
Call a friend/family, Happy, Anxious, Calm
Read a book, Calm, Bored, Happy
Write in a journal, Calm, Sad, Motivated
Learn something new, Motivated, Excited, Calm
Practice mindfulness, Calm, Motivated, Anger
Do a creative activity, Excited, Happy, Calm
Plan a future trip, Happy, Excited, Calm
Apply for a job, Motivated, Stress, Calm
Get a haircut, Happy, Excited, Calm
Clean the room, Motivated, Bored, Calm
Plan a vacation, Happy, Excited, Calm
Call a friend, Happy, Calm, Bored
Read a book, Calm, Bored, Happy
Learn a new skill, Motivated, Excited, Calm
Exercise, Motivated, Calm, Frustrated
Practice meditation, Calm, Anxious, Sad
Watch a funny video, Happy, Calm, Bored
Play a favorite video game, Happy, Excited, Bored
Study for upcoming exams, Motivated, Stress, Calm
Try a new workout routine, Motivated, Excited, Bored
Volunteer at a local shelter, Happy, Calm, Sad
Write poetry or song lyrics, Happy, Bored, Sad
Cook a meal for the family, Happy, Excited, Calm
Watch a thriller movie, Excited, Stress, Calm
Draw or paint, Happy, Excited, Bored
Listen to calming music, Calm, Sad, Anxious
Go for a bike ride, Happy, Excited, Calm
Practice a musical instrument, Happy, Excited, Bored
Write a short story, Happy, Excited, Bored
Do a puzzle, Calm, Bored, Happy
Attend a club meeting, Happy, Motivated, Bored
Take a scenic nature walk, Happy, Calm, Bored
Help a neighbor with chores, Happy, Motivated, Sad
Watch a documentary, Bored, Calm, Motivated
Plan a surprise for a friend, Happy, Excited, Calm
Create a vision board, Motivated, Happy, Excited
Play a musical instrument, Happy, Excited, Bored
Create a study schedule, Motivated, Calm, Stress
Organize school supplies, Motivated, Calm, Bored
Participate in a school club meeting, Happy, Motivated, Bored
Research a topic of interest, Motivated, Bored, Calm
Practice mindfulness for  minutes, Calm, Anxious, Sad
Write a reflection journal entry, Calm, Sad, Happy
Join an online educational seminar, Motivated, Excited, Calm
Create flashcards for studying, Motivated, Calm, Stress
Help a classmate with homework, Happy, Motivated, Sad
Practice public speaking, Excited, Stress, Motivated
Explore a new language, Motivated, Excited, Calm
Read a news article, Calm, Bored, Anger
Complete a creative writing prompt, Happy, Excited, Bored
Review and summarize a textbook chapter, Motivated, Calm, Stress
Discuss a current event, Happy, Motivated, Anxious
Design a presentation, Motivated, Excited, Calm
Solve a series of math problems, Motivated, Frustrated, Calm
Practice coding, Motivated, Excited, Bored
Watch an educational YouTube video, Happy, Motivated, Bored
Create a mind map, Motivated, Bored, Calm
Grocery shopping, Happy, Bored, Calm
Pay bills, Stress, Calm, Bored
Take a pet for a walk, Happy, Excited, Calm
Attend a social gathering, Happy, Excited, Calm
Clean the car, Motivated, Bored, Calm
Have a family dinner, Happy, Calm, Bored
Go for a coffee, Happy, Calm, Bored
Visit a local park, Happy, Excited, Calm
Attend a community event, Happy, Excited, Calm
Do some gardening, Happy, Motivated, Calm
Arrange a family game night, Happy, Excited, Calm
Watch a sunset, Happy, Calm, Bored
Try a new restaurant, Happy, Excited, Calm
DIY home improvement, Motivated, Bored, Calm
Visit a museum or art gallery, Happy, Excited, Calm
Take a day trip, Happy, Excited, Calm
Have a movie night at home, Happy, Calm, Bored
Host a small gathering at home, Happy, Excited, Calm
Do a digital detox, Calm, Bored, Sad
Have a picnic, Happy, Excited, Calm
Play sports with friends, Happy, Excited, Calm
Work on a DIY project, Motivated, Bored, Calm
Go for a bike ride, Happy, Excited, Calm
Play video games, Happy, Excited, Bored
Read a comic book or manga, Happy, Bored, Calm
Practice skateboarding or BMX, Happy, Excited, Calm
Watch a favorite TV series, Happy, Excited, Calm
Learn to cook a new recipe, Happy, Excited, Calm
Work on a car or bike, Motivated, Bored, Calm
Listen to music, Happy, Excited, Calm
Practice playing an instrument, Happy, Excited, Bored
Watch sports highlights, Excited, Happy, Calm
Work on a personal art project, Happy, Excited, Bored
Start a blog or YouTube channel, Happy, Excited, Motivated
Explore a new hobby, Happy, Excited, Bored
Plan a camping trip, Happy, Excited, Calm
Experiment with photography, Happy, Excited, Bored
Create a workout routine, Motivated, Excited, Calm
Volunteer for a cause, Happy, Calm, Sad
Play board games with friends, Happy, Excited, Bored
Prepare lesson plans, Motivated, Stress, Calm
Grade assignments, Stress, Motivated, Calm
Conduct parent-teacher meetings, Motivated, Stress, Calm
Organize classroom materials, Motivated, Bored, Calm
Create educational resources, Motivated, Excited, Calm
Facilitate group discussions, Motivated, Happy, Calm
Attend professional development, Motivated, Stress, Calm
Collaborate with colleagues, Motivated, Happy, Calm
Adapt lesson plans for students' needs, Motivated, Stress, Calm
Grade and provide feedback on exams, Stress, Motivated, Calm
Create engaging presentations, Motivated, Excited, Calm
Implement new teaching methods, Motivated, Excited, Calm
Monitor student progress, Motivated, Stress, Calm
Encourage class participation, Motivated, Happy, Calm
Conduct research for teaching, Motivated, Bored, Calm
Coordinate extracurricular activities, Motivated, Excited, Calm
Support students' emotional needs, Motivated, Sad, Calm
Manage classroom discipline, Stress, Anger, Calm
Develop educational assessments, Motivated, Stress, Calm
Create educational content, Motivated, Excited, Calm
Coordinate with school administration, Motivated, Stress, Calm
Supervise student activities, Motivated, Happy, Calm
Plan field trips, Motivated, Excited, Calm
Organize and maintain records, Motivated, Bored, Calm
Create and implement assessments, Motivated, Stress, Calm
Collaborate with parents/guardians, Motivated, Happy, Calm
Develop a curriculum, Motivated, Excited, Calm
Engage in professional networking, Motivated, Happy, Calm
Analyze student performance data, Motivated, Stress, Calm
Provide individualized support, Motivated, Sad, Calm
Conduct teacher-parent conferences, Motivated, Stress, Calm
Review and update curriculum, Motivated, Excited, Calm
Supervise extracurricular clubs, Motivated, Excited, Calm
Implement technology in lessons, Motivated, Excited, Calm
Create and grade assessments, Motivated, Stress, Calm
Collaborate with special education team, Motivated, Sad, Calm
Conduct professional workshops, Motivated, Excited, Calm
